y_true,clean,gray,n,CR,arm
39,0.8638297872340426,0.1148936170212766,235,0.7489361702127659,vit_small_in1k
40,0.9158878504672897,0.7252336448598131,535,0.1906542056074766,vit_small_in1k
41,0.8974358974358975,0.14358974358974358,195,0.7538461538461538,vit_small_in1k
42,0.5836363636363636,0.2381818181818182,550,0.34545454545454546,vit_small_in1k
43,0.9643835616438357,0.7753424657534247,365,0.18904109589041096,vit_small_in1k
44,0.98,0.23,100,0.75,vit_small_in1k
45,0.9329545454545455,0.11704545454545455,880,0.8159090909090909,vit_small_in1k
46,0.9872340425531915,0.5319148936170213,235,0.4553191489361702,vit_small_in1k
47,0.9333333333333333,0.054901960784313725,255,0.8784313725490196,vit_small_in1k
48,1.0,0.4896551724137931,145,0.5103448275862069,vit_small_in1k
49,0.9527777777777777,0.0,360,0.9527777777777777,vit_small_in1k
50,0.542016806722689,0.39747899159663863,1190,0.1445378151260504,vit_small_in1k
51,0.9846153846153847,0.1753846153846154,325,0.8092307692307693,vit_small_in1k
52,0.6767123287671233,0.07945205479452055,365,0.5972602739726027,vit_small_in1k
53,0.9951219512195122,0.11219512195121951,205,0.8829268292682927,vit_small_in1k
54,0.9803921568627451,0.01568627450980392,255,0.9647058823529411,vit_small_in1k
55,0.9932584269662922,0.07415730337078652,445,0.9191011235955057,vit_small_in1k
56,0.9446808510638298,0.8723404255319149,235,0.07234042553191489,vit_small_in1k
57,0.9808510638297873,0.32127659574468087,470,0.6595744680851063,vit_small_in1k
58,1.0,0.02127659574468085,235,0.9787234042553191,vit_small_in1k
59,0.9955056179775281,0.4337078651685393,445,0.5617977528089888,vit_small_in1k
60,1.0,0.09333333333333334,150,0.9066666666666666,vit_small_in1k
61,0.8742857142857143,0.0,175,0.8742857142857143,vit_small_in1k
62,1.0,0.18823529411764706,170,0.8117647058823529,vit_small_in1k
63,1.0,0.525,160,0.475,vit_small_in1k
64,0.975609756097561,0.23414634146341465,410,0.7414634146341463,vit_small_in1k
65,1.0,0.024390243902439025,205,0.975609756097561,vit_small_in1k
66,0.8727272727272727,0.2,110,0.6727272727272726,vit_small_in1k
67,0.8823529411764706,0.6294117647058823,170,0.2529411764705882,vit_small_in1k
68,0.9764705882352941,0.7294117647058823,170,0.24705882352941178,vit_small_in1k
69,1.0,0.44285714285714284,210,0.5571428571428572,vit_small_in1k
70,1.0,0.25517241379310346,290,0.7448275862068965,vit_small_in1k
71,0.7973684210526316,0.1868421052631579,380,0.6105263157894737,vit_small_in1k
72,0.8954022988505748,0.40344827586206894,870,0.4919540229885058,vit_small_in1k
73,0.7258278145695364,0.07549668874172186,755,0.6503311258278145,vit_small_in1k
74,0.95,0.888,500,0.061999999999999944,vit_small_in1k
75,0.8873563218390804,0.3816091954022989,435,0.5057471264367815,vit_small_in1k
76,0.9567099567099567,0.580952380952381,1155,0.37575757575757573,vit_small_in1k
77,0.8683760683760684,0.28547008547008546,585,0.582905982905983,vit_small_in1k
78,1.0,0.8,105,0.19999999999999996,vit_small_in1k
79,0.9364705882352942,0.5035294117647059,425,0.4329411764705883,vit_small_in1k
80,0.9917808219178083,0.30273972602739724,730,0.689041095890411,vit_small_in1k
81,0.8130434782608695,0.5369565217391304,460,0.2760869565217391,vit_small_in1k
82,0.7027027027027027,0.17657657657657658,555,0.5261261261261262,vit_small_in1k
83,0.696969696969697,0.11818181818181818,330,0.5787878787878789,vit_small_in1k
84,0.9302325581395349,0.19069767441860466,215,0.7395348837209302,vit_small_in1k
85,0.968421052631579,0.6210526315789474,190,0.34736842105263155,vit_small_in1k
86,0.958139534883721,0.7627906976744186,215,0.1953488372093023,vit_small_in1k
87,0.7238805970149254,0.3402985074626866,670,0.38358208955223877,vit_small_in1k
88,0.8524390243902439,0.03780487804878049,820,0.8146341463414634,vit_small_in1k
89,0.8258064516129032,0.02903225806451613,310,0.7967741935483871,vit_small_in1k
90,0.9,0.6,280,0.30000000000000004,vit_small_in1k
91,0.8956521739130435,0.26956521739130435,230,0.6260869565217392,vit_small_in1k
92,0.9076923076923077,0.2923076923076923,130,0.6153846153846154,vit_small_in1k
93,0.9422535211267605,0.6140845070422535,710,0.32816901408450705,vit_small_in1k
94,0.8,0.42407407407407405,540,0.375925925925926,vit_small_in1k
95,0.6957746478873239,0.04507042253521127,355,0.6507042253521126,vit_small_in1k
96,0.7217391304347827,0.11739130434782609,230,0.6043478260869566,vit_small_in1k
97,0.9129032258064517,0.11290322580645161,310,0.8,vit_small_in1k
98,0.8697674418604651,0.1813953488372093,215,0.6883720930232557,vit_small_in1k
99,1.0,0.013793103448275862,145,0.9862068965517241,vit_small_in1k
100,0.8947368421052632,0.02631578947368421,190,0.868421052631579,vit_small_in1k
101,0.9714285714285714,0.39285714285714285,140,0.5785714285714285,vit_small_in1k
0,1.0,0.79,100,0.20999999999999996,swin_tiny
1,0.96,0.925,200,0.03499999999999992,swin_tiny
2,0.63,0.46,100,0.16999999999999998,swin_tiny
3,0.6555555555555556,0.6555555555555556,180,0.0,swin_tiny
4,0.9555555555555556,0.07111111111111111,225,0.8844444444444445,swin_tiny
5,0.992,0.968,125,0.02400000000000002,swin_tiny
6,0.97,0.83,100,0.14,swin_tiny
7,1.0,0.7415384615384616,325,0.2584615384615384,swin_tiny
8,0.9692307692307692,0.2923076923076923,130,0.676923076923077,swin_tiny
9,1.0,0.992,125,0.008000000000000007,swin_tiny
10,0.8567164179104477,0.3611940298507463,335,0.49552238805970145,swin_tiny
11,0.9671641791044776,0.5970149253731343,335,0.37014925373134333,swin_tiny
12,1.0,0.9793103448275862,145,0.020689655172413834,swin_tiny
13,0.9928571428571429,0.9857142857142858,140,0.0071428571428571175,swin_tiny
14,1.0,0.2827586206896552,145,0.7172413793103448,swin_tiny
15,0.9333333333333333,0.11428571428571428,105,0.819047619047619,swin_tiny
16,0.9907692307692307,0.7507692307692307,325,0.24,swin_tiny
17,0.9548387096774194,0.8870967741935484,310,0.06774193548387097,swin_tiny
18,0.9724137931034482,0.8551724137931035,145,0.11724137931034473,swin_tiny
19,0.9888888888888889,0.7333333333333333,180,0.25555555555555565,swin_tiny
20,0.98,0.61,100,0.37,swin_tiny
21,0.9743589743589743,0.8871794871794871,195,0.0871794871794872,swin_tiny
22,0.8929577464788733,0.8788732394366198,355,0.014084507042253502,swin_tiny
23,1.0,0.7181818181818181,110,0.28181818181818186,swin_tiny
24,1.0,0.8666666666666667,105,0.1333333333333333,swin_tiny
25,0.8571428571428571,0.09523809523809523,105,0.7619047619047619,swin_tiny
26,1.0,0.64,100,0.36,swin_tiny
27,0.991304347826087,0.2391304347826087,230,0.7521739130434784,swin_tiny
28,0.9758620689655172,0.5724137931034483,290,0.4034482758620689,swin_tiny
29,0.8615384615384616,0.6092307692307692,325,0.25230769230769234,swin_tiny
30,0.95625,0.76875,160,0.1875,swin_tiny
31,0.808,0.8,125,0.008000000000000007,swin_tiny
32,0.9692307692307692,0.9076923076923077,130,0.06153846153846154,swin_tiny
33,1.0,0.88,100,0.12,swin_tiny
34,1.0,0.9826086956521739,115,0.017391304347826098,swin_tiny
35,0.9818181818181818,0.9636363636363636,275,0.018181818181818188,swin_tiny
36,0.9954545454545455,0.9590909090909091,440,0.036363636363636376,swin_tiny
37,1.0,0.9944444444444445,180,0.005555555555555536,swin_tiny
38,0.9619047619047619,0.5047619047619047,105,0.4571428571428572,swin_tiny
39,0.9404255319148936,0.625531914893617,235,0.3148936170212766,swin_tiny
40,0.9514018691588785,0.9439252336448598,535,0.00747663551401867,swin_tiny
41,0.9692307692307692,0.4666666666666667,195,0.5025641025641026,swin_tiny
42,0.7454545454545455,0.40545454545454546,550,0.34,swin_tiny
43,0.9972602739726028,0.9698630136986301,365,0.0273972602739726,swin_tiny
44,1.0,0.86,100,0.14,swin_tiny
45,0.975,0.17954545454545454,880,0.7954545454545454,swin_tiny
46,1.0,0.5191489361702127,235,0.48085106382978726,swin_tiny
47,0.9607843137254902,0.4470588235294118,255,0.5137254901960784,swin_tiny
48,1.0,0.8620689655172413,145,0.13793103448275867,swin_tiny
49,0.9527777777777777,0.6305555555555555,360,0.3222222222222222,swin_tiny
50,0.6781512605042017,0.6747899159663866,1190,0.003361344537815114,swin_tiny
51,0.9969230769230769,0.8338461538461538,325,0.16307692307692312,swin_tiny
52,0.7506849315068493,0.3780821917808219,365,0.3726027397260274,swin_tiny
53,1.0,0.751219512195122,205,0.24878048780487805,swin_tiny
54,0.9647058823529412,0.592156862745098,255,0.37254901960784315,swin_tiny
55,0.9977528089887641,0.4943820224719101,445,0.503370786516854,swin_tiny
56,0.9914893617021276,0.9872340425531915,235,0.004255319148936176,swin_tiny
57,1.0,0.48936170212765956,470,0.5106382978723405,swin_tiny
58,1.0,0.31063829787234043,235,0.6893617021276596,swin_tiny
59,0.9977528089887641,0.8943820224719101,445,0.10337078651685394,swin_tiny
60,1.0,0.3466666666666667,150,0.6533333333333333,swin_tiny
61,0.9257142857142857,0.11428571428571428,175,0.8114285714285714,swin_tiny
62,1.0,0.5823529411764706,170,0.41764705882352937,swin_tiny
63,1.0,0.875,160,0.125,swin_tiny
64,0.9780487804878049,0.44390243902439025,410,0.5341463414634147,swin_tiny
65,1.0,0.8634146341463415,205,0.13658536585365855,swin_tiny
66,0.9272727272727272,0.6090909090909091,110,0.3181818181818181,swin_tiny
67,0.9705882352941176,0.9647058823529412,170,0.00588235294117645,swin_tiny
68,1.0,0.9,170,0.09999999999999998,swin_tiny
69,1.0,0.7619047619047619,210,0.23809523809523814,swin_tiny
70,1.0,0.2896551724137931,290,0.7103448275862069,swin_tiny
71,0.8710526315789474,0.6789473684210526,380,0.19210526315789478,swin_tiny
72,0.9689655172413794,0.8586206896551725,870,0.1103448275862069,swin_tiny
73,0.8768211920529801,0.24635761589403973,755,0.6304635761589404,swin_tiny
74,0.986,0.932,500,0.05399999999999994,swin_tiny
