dataset,id,backbone,arm,y_true,n_img,n_seed,clean_mean,clean_sd,gray_mean,gray_sd,CR_mean,CR_sd
cub200,S1,ResNet-50,resnet50,109,30,5,0.9333333333333333,0.02357022603955158,0.8933333333333333,0.027888667551135848,0.039999999999999994,0.04346134936801765
cub200,S1,ResNet-50,resnet50,110,30,5,0.5666666666666667,0.06666666666666665,0.1,0.05270462766947299,0.4666666666666667,0.06666666666666665
cub200,S1,ResNet-50,resnet50,111,30,5,0.6666666666666666,0.05270462766947298,0.8866666666666667,0.04472135954999579,-0.22000000000000006,0.038005847503304595
cub200,S1,ResNet-50,resnet50,112,20,5,0.8699999999999999,0.04472135954999579,0.77,0.11510864433221336,0.1,0.15
cub200,S1,ResNet-50,resnet50,113,30,5,0.9266666666666667,0.027888667551135848,0.2866666666666667,0.060553007081949814,0.64,0.07226494462892936
cub200,S1,ResNet-50,resnet50,114,29,5,0.6482758620689656,0.0823264578366436,0.18620689655172415,0.0393163939689358,0.46206896551724136,0.0755479389662298
cub200,S1,ResNet-50,resnet50,115,30,5,0.74,0.054772255750516655,0.03333333333333333,0.023570226039551584,0.7066666666666667,0.0434613493680177
cub200,S1,ResNet-50,resnet50,116,29,5,0.6206896551724138,0.04223258177212376,0.5448275862068966,0.0511461964627287,0.07586206896551723,0.09252695079309474
cub200,S1,ResNet-50,resnet50,117,30,5,0.5466666666666666,0.0869226987360353,0.16,0.12110601416389967,0.38666666666666666,0.10434983894999018
cub200,S1,ResNet-50,resnet50,118,29,5,0.6620689655172414,0.06632891055748741,0.3310344827586207,0.1326578211149748,0.33103448275862074,0.13921813267714722
cub200,S1,ResNet-50,resnet50,119,30,5,0.7666666666666667,0.0471404520791032,0.44666666666666666,0.05055250296034368,0.32,0.08366600265340758
cub200,S1,ResNet-50,resnet50,120,30,5,0.7333333333333333,0.03333333333333338,0.6199999999999999,0.06497862896539308,0.11333333333333336,0.08692269873603535
cub200,S1,ResNet-50,resnet50,121,30,5,0.9333333333333333,0.02357022603955158,0.6199999999999999,0.05577733510227169,0.31333333333333335,0.060553007081949814
cub200,S1,ResNet-50,resnet50,122,30,5,0.76,0.05962847939999443,0.3666666666666667,0.22110831935702666,0.39333333333333337,0.24540216425741282
cub200,S1,ResNet-50,resnet50,123,29,5,0.8275862068965516,0.04223258177212375,0.3793103448275862,0.10628300005118925,0.44827586206896547,0.08791412954470319
cub200,S1,ResNet-50,resnet50,124,29,5,0.7724137931034483,0.05229569271759689,0.48275862068965514,0.12669774531637126,0.2896551724137931,0.11332190844934471
cub200,S1,ResNet-50,resnet50,125,30,5,0.6666666666666666,0.05270462766947298,0.19333333333333333,0.08628119403696523,0.47333333333333333,0.132077418374393
cub200,S1,ResNet-50,resnet50,126,30,5,0.7133333333333333,0.029814239699997188,0.19333333333333333,0.08299933065325822,0.5199999999999999,0.10697871023920809
cub200,S1,ResNet-50,resnet50,127,30,5,0.7666666666666667,0.03333333333333338,0.43999999999999995,0.11879019787470306,0.3266666666666667,0.14981470036162828
cub200,S1,ResNet-50,resnet50,128,30,5,0.7266666666666667,0.09249624617007741,0.4866666666666667,0.09888264649460884,0.24000000000000005,0.14794894014114768
cub200,S1,ResNet-50,resnet50,129,30,5,0.5866666666666667,0.029814239699997188,0.15333333333333332,0.0767390962214756,0.4333333333333333,0.09128709291752769
cub200,S1,ResNet-50,resnet50,130,30,5,0.8266666666666668,0.036514837167011066,0.74,0.10110500592068737,0.08666666666666671,0.07302967433402217
cub200,S1,ResNet-50,resnet50,131,30,5,0.8266666666666668,0.036514837167011066,0.58,0.09888264649460882,0.24666666666666673,0.08692269873603531
cub200,S1,ResNet-50,resnet50,132,30,5,0.9199999999999999,0.029814239699997188,0.26,0.1498147003616282,0.66,0.13824294235551818
